0,1,2,mse,ssim,lpips
building2.bmp,img33.bmp,0.934864,65.74134216308593,0.8068806118713928,0.15697607398033142
manfishing.bmp,img170.bmp,0.0,0.0,1.0,0.0
building2.bmp,img8.bmp,0.72002,55.61910807291667,0.8924470763134574,0.09532693028450012
building2.bmp,img137.bmp,0.533821,36.50398457845052,0.9647911503630364,0.0394078865647316
caps.bmp,img163.bmp,0.0,0.0,1.0,0.0
flowersonih35.bmp,img153.bmp,0.0,0.0,1.0,0.0
plane.bmp,img5.bmp,4.916644,40.408468458387595,0.6905541912055871,0.23275433480739594
plane.bmp,img139.bmp,3.312473,34.86766984727648,0.7331176773361162,0.21035520732402802
plane.bmp,img30.bmp,1.708303,26.519354078504772,0.8187521761365648,0.16012367606163025
plane.bmp,img86.bmp,1.078093,20.638606601291233,0.8855061463466763,0.11222973465919495
plane.bmp,img63.bmp,0.562467,9.215186225043404,0.9726940567392854,0.0342799574136734
woman.bmp,img68.bmp,2.052054,54.67309702932097,0.609973438156936,0.2968880534172058
building2.bmp,img156.bmp,0.0,0.0,1.0,0.0
woman.bmp,img99.bmp,1.651011,50.728936149691364,0.6745513826938493,0.26422250270843506
woman.bmp,img140.bmp,1.020802,39.6238425925926,0.8183027864976546,0.18587052822113037
woman.bmp,img64.bmp,0.934864,37.23017168209878,0.8420450966486266,0.16734008491039276
woman.bmp,img145.bmp,0.648405,25.20142939814815,0.9295847487807564,0.0865226462483406
buildings.bmp,img73.bmp,2.624972,80.38691796196832,0.4513804908229783,0.3488321900367737
buildings.bmp,img134.bmp,1.536428,70.58450826009114,0.623857470344879,0.2700650691986084
churchandcapitol.bmp,img172.bmp,0.0,0.0,1.0,0.0
buildings.bmp,img62.bmp,0.934864,58.498099433051216,0.8023222060747656,0.17472180724143982
buildings.bmp,img7.bmp,0.8489260000000001,56.042700025770394,0.8344586836646303,0.15114964544773102
buildings.bmp,img45.bmp,0.562467,36.75078921847873,0.9511443084589828,0.05252029374241829
cemetry.bmp,img169.bmp,0.0,0.0,1.0,0.0
house.bmp,img138.bmp,3.999975,54.994019402398,0.5407757564668765,0.2694080173969269
house.bmp,img113.bmp,1.393198,36.51386345757377,0.7639201307862172,0.16993385553359985
buildings.bmp,img159.bmp,0.0,0.0,1.0,0.0
house.bmp,img122.bmp,1.049447,30.364199320475265,0.8365636109368153,0.13291612267494202
house.bmp,img49.bmp,0.992156,28.942571004231766,0.8500060503909527,0.12479753792285919
house.bmp,img94.bmp,0.533821,10.571383158365883,0.9718447396715648,0.033675502985715866
rapids.bmp,img17.bmp,7.66665,79.56417083740234,0.34053685731307176,0.3450625240802765
rapids.bmp,img141.bmp,1.421844,48.41931576199002,0.732545152355882,0.19285142421722412
rapids.bmp,img34.bmp,1.020802,39.21958669026693,0.8308371688285853,0.13154719769954681
plane.bmp,img157.bmp,0.0,0.0,1.0,0.0
rapids.bmp,img29.bmp,0.7916340000000001,30.62530687120225,0.8962989528765123,0.08378461003303528
